hobo_number,Site_Number,species,therm_max
887423,Site_1,Cxq,37.7
450746,Site_2,Cxt,43.1
831825,Site_3,Cxt,43.1
831782,Site_4,Cxt,43.1
831785,Site_5,Cxq,37.7
831804,Site_6,Cxq,37.7
831779,Site_7,Unk,37.7
831802,Site_8,Cxq,37.7
801658,Site_9,Cxq,37.7
831807,Site_10,Cxt,43.1
450782,Site_11,Cxt,43.1
388454,Site_12,Cxq,37.7
388432,Site_13,Cxq,37.7
450784,Site_14,Cxq,37.7
388462,Site_15,Cxq,37.7
450796,Site_16,Cxt,43.1
831834,Site_17,Cxq,37.7
831800,Site_18,Cxt,43.1
831778,Site_19,Cxq,37.7
388473,Site_20,Cxq,37.7
450792,Site_21,Cxq,37.7
388465,Site_22,Cxq,37.7
831808,Site_23,Cxt,43.1
450775,Site_24,Cxq,37.7
801661,Site_25,Cxq,37.7